N,P,K,temperature,humidity,ph,rainfall,soil_type,season,district,irrigation,label
29,32,29,25.69,34.46,6.59,117.12,Loamy Soil,Rabi,Banaskantha,Low,Cumin
39,32,26,22.62,34.06,6.92,94.95,Alluvial Soil,Rabi,Banaskantha,Low,Cumin
31,28,20,26.71,39.11,5.51,73.36,Sandy Soil,Rabi,Banaskantha,Low,Cumin
80,52,51,32.5,65.56,7.08,764.03,Alluvial Soil,Kharif,Jamnagar,High,Cotton
55,28,26,29.08,58.84,6.21,412.39,Sandy Soil,Kharif,Mehsana,Low,Castor
58,26,35,35.54,44.65,6.03,272.64,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
39,50,32,23.79,44.45,6.79,218.72,Clay Soil,Rabi,Ahmedabad,Low,Gram
64,37,42,19.77,52.15,5.82,171.56,Sandy Soil,Rabi,Jamnagar,Low,Mustard
90,43,49,17.91,48.48,6.08,182.96,Loamy Soil,Rabi,Mehsana,Medium,Wheat
53,49,40,27.16,74.25,7.17,605.18,Sandy Soil,Kharif,Jamnagar,Medium,Groundnut
37,28,33,22.62,33.8,6.61,120.07,Alluvial Soil,Rabi,Kutch,Low,Cumin
32,28,24,30.58,52.33,5.87,389.35,Loamy Soil,Kharif,Rajkot,Low,Sesame
80,46,40,19.91,45.66,5.44,210.22,Black Soil,Rabi,Banaskantha,Medium,Wheat
49,32,35,31.34,59.58,5.9,476.06,Sandy Soil,Kharif,Kutch,Low,Castor
46,32,30,20.03,46.25,6.77,174.72,Loamy Soil,Rabi,Ahmedabad,Low,Mustard
65,32,35,34.5,39.54,6.1,288.46,Loamy Soil,Kharif,Jamnagar,Low,Bajra
40,37,29,27.39,69.96,6.93,690.51,Black Soil,Kharif,Bhavnagar,Medium,Groundnut
28,51,37,21.37,40.05,6.88,204.61,Black Soil,Rabi,Rajkot,Low,Gram
56,31,26,29.93,40.17,7.32,269.23,Sandy Soil,Kharif,Mehsana,Low,Bajra
35,34,34,23.14,30.03,7.09,85.59,Loamy Soil,Rabi,Banaskantha,Low,Cumin
108,42,42,29.59,64.08,6.48,807.61,Black Soil,Kharif,Amreli,High,Cotton
92,48,51,19.36,52.75,5.62,213.98,Alluvial Soil,Rabi,Anand,Medium,Wheat
54,38,36,33.05,39.09,6.68,270.48,Sandy Soil,Kharif,Mehsana,Low,Bajra
40,34,35,26.42,34.03,5.92,108.74,Sandy Soil,Rabi,Rajkot,Low,Cumin
51,33,34,31.51,40.25,6.31,237.46,Loamy Soil,Kharif,Kutch,Low,Bajra
36,39,26,22.68,35.94,5.91,129.91,Sandy Soil,Rabi,Jamnagar,Low,Cumin
49,41,23,30.02,55.37,7.09,401.68,Sandy Soil,Kharif,Rajkot,Low,Castor
88,62,42,26.83,67.99,6.54,915.4,Loamy Soil,Kharif,Vadodara,High,Maize
51,33,33,33.29,37.61,5.75,277.02,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
77,47,44,27.92,71.93,5.71,899.56,Alluvial Soil,Kharif,Vadodara,High,Maize
44,38,26,34.27,43.11,6.33,345.41,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
26,28,29,31.07,50.72,6.68,338.76,Sandy Soil,Kharif,Junagadh,Low,Sesame
42,36,29,28.55,73.53,7.11,642.76,Loamy Soil,Kharif,Jamnagar,Medium,Groundnut
70,34,26,19.99,55.65,6.41,100.85,Sandy Soil,Rabi,Kutch,Low,Mustard
84,56,37,29.96,66.08,6.17,949.65,Loamy Soil,Kharif,Vadodara,High,Maize
97,60,49,32.26,60.77,6.64,744.54,Black Soil,Kharif,Amreli,Medium,Cotton
38,35,24,32.23,54.4,5.98,439.22,Alluvial Soil,Kharif,Anand,Low,Castor
36,36,41,22.24,35.86,5.65,148.66,Loamy Soil,Rabi,Jamnagar,Low,Gram
34,25,29,28.38,44.94,6.62,375.84,Alluvial Soil,Kharif,Junagadh,Low,Sesame
96,50,39,30.96,61.3,7.38,862.38,Black Soil,Kharif,Bhavnagar,High,Cotton
62,42,26,16.9,49.67,6.53,157.02,Loamy Soil,Rabi,Mehsana,Low,Mustard
34,38,35,28.43,73.5,6.31,636.03,Loamy Soil,Kharif,Rajkot,Medium,Groundnut
35,59,34,23.66,47.71,6.83,167.89,Clay Soil,Rabi,Vadodara,Low,Gram
92,52,48,34.07,61.67,6.99,785.73,Black Soil,Kharif,Bhavnagar,High,Cotton
27,32,25,25.39,36.01,6.9,116.21,Sandy Soil,Rabi,Mehsana,Low,Cumin
56,43,29,19.92,52.92,6.51,169.96,Loamy Soil,Rabi,Kutch,Low,Mustard
102,52,43,34.86,67.11,5.49,812.43,Black Soil,Kharif,Surat,High,Cotton
36,35,32,21.35,42.41,6.7,104.14,Loamy Soil,Rabi,Rajkot,Low,Cumin
64,48,34,19.16,50.97,6.3,200.37,Sandy Soil,Rabi,Jamnagar,Low,Mustard
50,38,30,28.76,51.33,6.21,509.54,Alluvial Soil,Kharif,Mehsana,Low,Castor
25,45,40,27.53,71.94,6.65,622.06,Black Soil,Kharif,Bhavnagar,Medium,Groundnut
53,49,29,27.62,70.91,7.27,579.01,Sandy Soil,Kharif,Junagadh,Medium,Groundnut
46,38,24,37.85,38.87,6.07,263.21,Loamy Soil,Kharif,Mehsana,Low,Bajra
58,34,36,18.55,47.95,6.6,149.77,Alluvial Soil,Rabi,Kutch,Low,Mustard
59,37,29,22.16,52.68,6.34,225.11,Sandy Soil,Rabi,Jamnagar,Low,Mustard
73,41,42,26.24,69.7,7.03,915.0,Alluvial Soil,Kharif,Ahmedabad,High,Maize
22,53,35,21.5,40.09,6.32,141.37,Black Soil,Rabi,Junagadh,Low,Gram
53,33,23,32.31,53.04,6.09,446.06,Loamy Soil,Kharif,Anand,Low,Castor
62,35,30,20.03,52.38,5.91,138.03,Loamy Soil,Rabi,Ahmedabad,Low,Mustard
36,42,28,30.68,57.99,6.51,396.48,Loamy Soil,Kharif,Rajkot,Low,Castor
97,49,47,35.09,58.78,6.84,692.49,Alluvial Soil,Kharif,Surat,High,Cotton
52,41,28,28.8,52.75,6.79,478.48,Alluvial Soil,Kharif,Mehsana,Low,Castor
65,40,35,38.64,38.34,6.0,246.82,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
110,44,42,32.69,66.71,6.76,1000.0,Black Soil,Kharif,Amreli,High,Cotton
49,25,33,34.09,41.06,6.87,293.82,Sandy Soil,Kharif,Jamnagar,Low,Bajra
30,35,29,22.74,32.02,6.28,127.49,Loamy Soil,Rabi,Rajkot,Low,Cumin
101,51,46,33.0,66.09,7.64,743.19,Black Soil,Kharif,Surat,High,Cotton
88,49,43,17.29,47.09,6.07,216.39,Clay Soil,Rabi,Anand,Medium,Wheat
93,52,50,31.03,65.62,6.12,759.23,Black Soil,Kharif,Bhavnagar,Medium,Cotton
30,25,23,26.56,50.96,7.2,431.99,Loamy Soil,Kharif,Bhavnagar,Low,Sesame
39,46,40,22.36,44.39,6.0,185.57,Black Soil,Rabi,Ahmedabad,Low,Gram
30,54,30,21.85,48.03,6.06,124.5,Clay Soil,Rabi,Rajkot,Low,Gram
88,57,43,20.38,42.67,6.72,238.07,Black Soil,Rabi,Rajkot,Medium,Wheat
111,43,43,30.67,59.15,6.55,920.41,Alluvial Soil,Kharif,Surat,Medium,Cotton
34,22,29,31.54,53.59,5.75,404.28,Loamy Soil,Kharif,Junagadh,Low,Sesame
31,31,28,21.47,31.39,6.06,122.1,Sandy Soil,Rabi,Rajkot,Low,Cumin
65,36,36,22.51,51.29,6.86,133.98,Sandy Soil,Rabi,Jamnagar,Low,Mustard
101,69,49,31.58,68.07,6.74,828.01,Alluvial Soil,Kharif,Surat,High,Cotton
107,56,50,32.03,67.24,6.8,776.4,Black Soil,Kharif,Junagadh,High,Cotton
91,45,50,17.09,47.31,6.12,228.99,Black Soil,Rabi,Banaskantha,Medium,Wheat
31,51,35,19.65,37.93,6.35,167.62,Black Soil,Rabi,Ahmedabad,Low,Gram
56,26,30,36.09,37.65,5.76,322.12,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
48,37,25,30.18,58.99,6.42,406.27,Sandy Soil,Kharif,Rajkot,Low,Castor
26,39,31,19.4,36.86,6.87,155.22,Black Soil,Rabi,Rajkot,Low,Gram
80,51,43,29.91,76.05,6.2,970.54,Red Soil,Kharif,Anand,High,Maize
56,39,33,30.98,55.68,6.2,408.79,Alluvial Soil,Kharif,Anand,Low,Castor
94,47,35,29.33,70.61,6.51,972.96,Loamy Soil,Kharif,Mehsana,High,Maize
40,44,29,32.47,57.89,6.7,434.55,Alluvial Soil,Kharif,Anand,Low,Castor
31,30,27,22.94,32.93,5.97,124.08,Loamy Soil,Rabi,Jamnagar,Low,Cumin
84,47,44,29.29,65.16,6.38,688.47,Alluvial Soil,Kharif,Amreli,High,Cotton
36,37,28,21.57,34.96,6.55,106.16,Loamy Soil,Rabi,Banaskantha,Low,Cumin
86,49,39,19.6,42.94,5.96,212.74,Clay Soil,Rabi,Rajkot,Medium,Wheat
106,51,50,31.12,64.84,6.86,1000.0,Alluvial Soil,Kharif,Amreli,High,Cotton
31,45,37,22.78,41.43,7.19,154.47,Clay Soil,Rabi,Junagadh,Low,Gram
80,39,41,22.55,46.47,7.12,184.38,Black Soil,Rabi,Ahmedabad,Medium,Wheat
54,36,29,33.67,41.45,6.15,265.68,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
96,55,48,18.32,44.8,6.02,266.78,Black Soil,Rabi,Banaskantha,Medium,Wheat
29,45,35,23.76,43.85,6.59,203.67,Black Soil,Rabi,Ahmedabad,Low,Gram
66,33,31,30.26,42.3,6.15,281.13,Sandy Soil,Kharif,Kutch,Low,Bajra
42,47,27,27.49,70.98,6.26,697.18,Loamy Soil,Kharif,Jamnagar,Medium,Groundnut
98,53,45,26.19,70.0,6.81,910.19,Loamy Soil,Kharif,Anand,High,Maize
99,49,52,31.19,64.33,7.2,902.61,Alluvial Soil,Kharif,Vadodara,Medium,Cotton
73,46,41,25.23,74.41,6.08,952.45,Loamy Soil,Kharif,Anand,High,Maize
46,37,27,29.67,56.16,6.16,470.02,Sandy Soil,Kharif,Mehsana,Low,Castor
35,51,28,22.19,46.93,7.21,147.63,Black Soil,Rabi,Junagadh,Low,Gram
108,50,42,29.13,62.6,6.39,734.19,Black Soil,Kharif,Jamnagar,High,Cotton
75,47,42,26.24,66.5,6.64,935.92,Red Soil,Kharif,Anand,High,Maize
35,29,24,28.38,49.51,6.48,360.87,Loamy Soil,Kharif,Junagadh,Low,Sesame
120,48,45,34.66,62.23,6.22,790.2,Alluvial Soil,Kharif,Rajkot,Medium,Cotton
35,37,27,19.33,37.26,6.49,67.78,Alluvial Soil,Rabi,Kutch,Low,Cumin
91,56,38,31.16,66.99,6.18,784.27,Alluvial Soil,Kharif,Jamnagar,High,Cotton
37,41,34,23.04,44.87,6.71,187.22,Black Soil,Rabi,Rajkot,Low,Gram
101,64,47,31.75,63.81,6.41,891.52,Black Soil,Kharif,Bhavnagar,High,Cotton
76,45,44,29.46,69.99,5.89,886.09,Loamy Soil,Kharif,Anand,High,Maize
41,39,31,22.89,28.57,6.54,123.92,Loamy Soil,Rabi,Jamnagar,Low,Cumin
32,31,28,22.05,40.69,6.77,133.94,Alluvial Soil,Rabi,Rajkot,Low,Cumin
37,26,22,29.7,50.54,6.91,386.9,Sandy Soil,Kharif,Amreli,Low,Sesame
49,38,29,30.12,56.65,6.19,546.64,Sandy Soil,Kharif,Kutch,Low,Castor
36,48,33,23.5,42.38,7.03,127.65,Clay Soil,Rabi,Junagadh,Low,Gram
69,28,36,19.43,49.72,6.36,175.64,Alluvial Soil,Rabi,Banaskantha,Low,Mustard
56,44,36,18.66,56.76,6.04,160.86,Sandy Soil,Rabi,Banaskantha,Low,Mustard
37,38,21,23.36,38.38,5.93,124.33,Loamy Soil,Rabi,Kutch,Low,Cumin
77,40,46,19.9,45.8,5.39,249.26,Loamy Soil,Rabi,Mehsana,Medium,Wheat
39,38,31,24.42,35.64,6.05,155.2,Loamy Soil,Rabi,Kutch,Low,Cumin
65,34,38,16.49,52.34,6.25,165.29,Loamy Soil,Rabi,Mehsana,Low,Mustard
44,50,34,21.24,47.48,7.11,138.52,Clay Soil,Rabi,Junagadh,Low,Gram
38,42,31,28.39,67.8,5.72,618.16,Black Soil,Kharif,Junagadh,Medium,Groundnut
30,32,24,28.72,51.81,5.94,421.86,Alluvial Soil,Kharif,Junagadh,Low,Sesame
60,33,36,35.62,37.73,6.66,304.32,Sandy Soil,Kharif,Jamnagar,Low,Bajra
37,54,38,22.41,43.16,6.85,138.76,Black Soil,Rabi,Jamnagar,Low,Gram
27,33,27,20.43,37.56,6.63,134.03,Alluvial Soil,Rabi,Kutch,Low,Cumin
85,44,46,28.4,69.03,6.4,948.42,Red Soil,Kharif,Vadodara,High,Maize
39,42,32,29.08,52.25,6.73,373.69,Alluvial Soil,Kharif,Banaskantha,Low,Castor
95,52,56,31.61,68.58,7.21,895.62,Alluvial Soil,Kharif,Bhavnagar,High,Cotton
92,56,51,34.46,64.41,6.83,806.54,Black Soil,Kharif,Vadodara,Medium,Cotton
50,37,28,30.31,57.07,7.69,456.79,Alluvial Soil,Kharif,Banaskantha,Low,Castor
58,35,28,20.2,54.81,6.18,158.01,Loamy Soil,Rabi,Jamnagar,Low,Mustard
54,28,33,31.15,37.48,7.01,290.68,Loamy Soil,Kharif,Mehsana,Low,Bajra
49,36,26,28.27,55.99,5.72,456.88,Alluvial Soil,Kharif,Kutch,Low,Castor
41,45,32,27.15,72.36,7.06,655.7,Black Soil,Kharif,Amreli,Medium,Groundnut
105,47,43,18.3,45.67,6.22,271.71,Loamy Soil,Rabi,Banaskantha,Medium,Wheat
64,45,42,16.74,49.0,7.08,193.38,Alluvial Soil,Rabi,Ahmedabad,Low,Mustard
32,49,34,22.55,41.94,7.08,172.23,Loamy Soil,Rabi,Junagadh,Low,Gram
37,36,25,22.31,40.51,7.01,131.3,Alluvial Soil,Rabi,Banaskantha,Low,Cumin
90,59,43,28.68,64.62,7.51,940.38,Loamy Soil,Kharif,Vadodara,High,Maize
102,64,52,31.57,69.0,6.3,664.13,Black Soil,Kharif,Vadodara,Medium,Cotton
60,32,36,31.49,34.94,6.36,168.2,Loamy Soil,Kharif,Mehsana,Low,Bajra
44,42,24,27.4,73.52,7.01,591.41,Loamy Soil,Kharif,Rajkot,Medium,Groundnut
38,56,26,29.72,74.14,6.26,731.47,Loamy Soil,Kharif,Jamnagar,Medium,Groundnut
56,39,43,17.98,54.19,6.21,137.43,Loamy Soil,Rabi,Ahmedabad,Low,Mustard
80,56,42,29.29,70.6,6.12,985.17,Loamy Soil,Kharif,Vadodara,High,Maize
91,56,37,27.3,71.74,6.64,822.64,Loamy Soil,Kharif,Vadodara,High,Maize
53,31,24,36.07,48.07,6.28,240.97,Sandy Soil,Kharif,Mehsana,Low,Bajra
39,37,21,24.16,37.47,6.98,133.35,Alluvial Soil,Rabi,Kutch,Low,Cumin
97,50,31,31.93,64.23,6.85,923.26,Black Soil,Kharif,Junagadh,Medium,Cotton
44,25,27,31.68,51.57,5.66,405.15,Alluvial Soil,Kharif,Bhavnagar,Low,Sesame
49,38,39,18.8,48.45,6.22,100.61,Alluvial Soil,Rabi,Ahmedabad,Low,Mustard
64,43,34,33.64,38.66,6.49,238.5,Loamy Soil,Kharif,Mehsana,Low,Bajra
34,26,31,23.24,43.09,6.3,163.38,Loamy Soil,Rabi,Rajkot,Low,Cumin
90,50,42,26.9,66.27,5.74,925.75,Loamy Soil,Kharif,Vadodara,High,Maize
34,30,24,28.21,55.55,6.66,445.37,Alluvial Soil,Kharif,Rajkot,Low,Sesame
61,34,25,30.94,41.46,5.86,352.49,Loamy Soil,Kharif,Jamnagar,Low,Bajra
74,51,46,25.41,68.07,6.1,951.51,Red Soil,Kharif,Anand,High,Maize
53,36,33,34.49,43.2,6.93,272.41,Sandy Soil,Kharif,Banaskantha,Low,Bajra
38,29,32,25.17,35.46,6.69,78.61,Sandy Soil,Rabi,Jamnagar,Low,Cumin
42,31,18,31.39,47.21,6.22,432.71,Loamy Soil,Kharif,Junagadh,Low,Sesame
90,56,46,19.18,45.25,5.78,166.95,Alluvial Soil,Rabi,Ahmedabad,Medium,Wheat
40,42,38,29.88,74.46,6.34,749.27,Sandy Soil,Kharif,Bhavnagar,Medium,Groundnut
48,34,33,31.76,59.08,7.79,477.36,Loamy Soil,Kharif,Kutch,Low,Castor
32,52,30,22.0,39.41,6.61,176.62,Clay Soil,Rabi,Vadodara,Low,Gram
58,35,29,32.16,40.7,7.14,265.45,Sandy Soil,Kharif,Jamnagar,Low,Bajra
78,45,40,25.89,66.96,6.9,892.41,Alluvial Soil,Kharif,Mehsana,High,Maize
41,39,35,27.47,66.27,6.83,594.15,Sandy Soil,Kharif,Amreli,Medium,Groundnut
56,32,34,37.24,40.67,5.76,150.0,Loamy Soil,Kharif,Mehsana,Low,Bajra
42,24,23,30.28,56.24,5.92,361.81,Loamy Soil,Kharif,Rajkot,Low,Sesame
31,29,26,32.61,50.71,6.73,378.16,Loamy Soil,Kharif,Amreli,Low,Sesame
20,44,32,20.98,39.26,5.94,206.54,Loamy Soil,Rabi,Ahmedabad,Low,Gram
99,57,41,31.96,62.92,6.87,802.1,Black Soil,Kharif,Bhavnagar,High,Cotton
48,34,27,31.08,53.65,6.85,423.33,Sandy Soil,Kharif,Rajkot,Low,Castor
38,32,26,23.83,39.78,6.39,109.08,Sandy Soil,Rabi,Kutch,Low,Cumin
37,38,22,26.62,75.28,6.3,641.53,Loamy Soil,Kharif,Bhavnagar,Medium,Groundnut
37,35,27,20.94,26.51,6.05,137.84,Loamy Soil,Rabi,Banaskantha,Low,Cumin
48,33,19,30.14,53.87,6.62,474.56,Alluvial Soil,Kharif,Anand,Low,Castor
34,29,23,21.52,32.23,6.12,123.65,Alluvial Soil,Rabi,Kutch,Low,Cumin
101,56,50,32.3,62.37,6.74,925.47,Black Soil,Kharif,Surat,High,Cotton
37,50,40,22.54,47.15,6.85,221.97,Black Soil,Rabi,Ahmedabad,Low,Gram
41,30,28,32.7,51.46,6.47,406.51,Alluvial Soil,Kharif,Bhavnagar,Low,Sesame
28,27,25,32.39,50.24,6.09,337.1,Loamy Soil,Kharif,Kutch,Low,Sesame
